id,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,all_skills,skill_metadata,location,job_text
4157,noida,india,"developer java, spring mvc, html","spring mvc, html, java",,0,0,"spring mvc, html, java","{""spring mvc"": {""category"": ""primary""}, ""html"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","noida, india","job posting job title: developer java, spring mvc, html location: noida, india primary skills: spring mvc, html, java secondary skills: experience: 0 - 0 years"
4004,noida,india,aws senior data engineer,"sql, devops solutions, python, amazon glue","sql server analysis services (ssas), sql server",0,0,"sql, devops solutions, python, amazon glue, sql server analysis services (ssas), sql server","{""sql"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""sql server analysis services (ssas)"": {""category"": ""secondary""}, ""sql server"": {""category"": ""secondary""}}","noida, india","job posting job title: aws senior data engineer location: noida, india primary skills: sql, devops solutions, python, amazon glue secondary skills: sql server analysis services (ssas), sql server experience: 0 - 0 years"
4440,,united kingdom,informatica developer,"sql, informatica",devops-api_teamcity,0,0,"sql, informatica, devops-api_teamcity","{""sql"": {""category"": ""primary""}, ""informatica"": {""category"": ""primary""}, ""devops-api_teamcity"": {""category"": ""secondary""}}",united kingdom,"job posting job title: informatica developer location: united kingdom primary skills: sql, informatica secondary skills: devops-api_teamcity experience: 0 - 0 years"
4011,noida,india,azure data engineer,"sql, azure data factory (adf)","devops-api_teamcity, agile-scrum (digital), intellect - gcb",0,0,"sql, azure data factory (adf), devops-api_teamcity, agile-scrum (digital), intellect - gcb","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""devops-api_teamcity"": {""category"": ""secondary""}, ""agile-scrum (digital)"": {""category"": ""secondary""}, ""intellect - gcb"": {""category"": ""secondary""}}","noida, india","job posting job title: azure data engineer location: noida, india primary skills: sql, azure data factory (adf) secondary skills: devops-api_teamcity, agile-scrum (digital), intellect - gcb experience: 0 - 0 years"
4483,neuquen,argentina,azure data engineer,"sql, azure data factory (adf)",safe- lean portfolio mgt (lpm),0,0,"sql, azure data factory (adf), safe- lean portfolio mgt (lpm)","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""safe- lean portfolio mgt (lpm)"": {""category"": ""secondary""}}","neuquen, argentina","job posting job title: azure data engineer location: neuquen, argentina primary skills: sql, azure data factory (adf) secondary skills: safe- lean portfolio mgt (lpm) experience: 0 - 0 years"
4606,,egypt,"developer with react, full stack - java, angular","full stack - java, react, angular",,0,0,"full stack - java, react, angular","{""full stack - java"": {""category"": ""primary""}, ""react"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}}",egypt,"job posting job title: developer with react, full stack - java, angular location: egypt primary skills: full stack - java, react, angular secondary skills: experience: 0 - 0 years"
4716,,lithuania,aws data engineer,"sql, python, amazon glue",talend mdm,0,0,"sql, python, amazon glue, talend mdm","{""sql"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""talend mdm"": {""category"": ""secondary""}}",lithuania,"job posting job title: aws data engineer location: lithuania primary skills: sql, python, amazon glue secondary skills: talend mdm experience: 0 - 0 years"
4678,,oman,senior program director,terraform,safe- lean portfolio mgt (lpm),0,0,"terraform, safe- lean portfolio mgt (lpm)","{""terraform"": {""category"": ""primary""}, ""safe- lean portfolio mgt (lpm)"": {""category"": ""secondary""}}",oman,job posting job title: senior program director location: oman primary skills: terraform secondary skills: safe- lean portfolio mgt (lpm) experience: 0 - 0 years
4809,,new zealand,azure data lead,"sql, azure databricks, azure data factory (adf), oracle pl/sql, python",talend mdm,0,0,"sql, azure databricks, azure data factory (adf), oracle pl/sql, python, talend mdm","{""sql"": {""category"": ""primary""}, ""azure databricks"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""oracle pl/sql"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""talend mdm"": {""category"": ""secondary""}}",new zealand,"job posting job title: azure data lead location: new zealand primary skills: sql, azure databricks, azure data factory (adf), oracle pl/sql, python secondary skills: talend mdm experience: 0 - 0 years"
4930,noida,india,program manager,safe- agile sw engineering (ase),,0,0,safe- agile sw engineering (ase),"{""safe- agile sw engineering (ase)"": {""category"": ""primary""}}","noida, india","job posting job title: program manager location: noida, india primary skills: safe- agile sw engineering (ase) secondary skills: experience: 0 - 0 years"
4560,,chile,azure data engineer,"sql, azure data factory (adf)",safe- lean portfolio mgt (lpm),0,0,"sql, azure data factory (adf), safe- lean portfolio mgt (lpm)","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""safe- lean portfolio mgt (lpm)"": {""category"": ""secondary""}}",chile,"job posting job title: azure data engineer location: chile primary skills: sql, azure data factory (adf) secondary skills: safe- lean portfolio mgt (lpm) experience: 0 - 0 years"
4917,,germany,aws data engineer,"sql, python, amazon glue",devops-api_apache ant,0,0,"sql, python, amazon glue, devops-api_apache ant","{""sql"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""devops-api_apache ant"": {""category"": ""secondary""}}",germany,"job posting job title: aws data engineer location: germany primary skills: sql, python, amazon glue secondary skills: devops-api_apache ant experience: 0 - 0 years"
3013,noida,india,azure data engineer,"sql, azure data factory (adf)",agile-scrum (digital),0,0,"sql, azure data factory (adf), agile-scrum (digital)","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""agile-scrum (digital)"": {""category"": ""secondary""}}","noida, india","job posting job title: azure data engineer location: noida, india primary skills: sql, azure data factory (adf) secondary skills: agile-scrum (digital) experience: 0 - 0 years"
4974,noida,india,aws senior data lead,"sql, snowflake, devops solutions, python, amazon glue",terraform,0,0,"sql, snowflake, devops solutions, python, amazon glue, terraform","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""terraform"": {""category"": ""secondary""}}","noida, india","job posting job title: aws senior data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: terraform experience: 0 - 0 years"
5102,noida,india,senior technical manager,terraform,,0,0,terraform,"{""terraform"": {""category"": ""primary""}}","noida, india","job posting job title: senior technical manager location: noida, india primary skills: terraform secondary skills: experience: 0 - 0 years"
3263,,canada,"full stack java technical lead with devops, react","full stack - java, devops solutions, react.js",talend mdm,0,0,"full stack - java, devops solutions, react.js, talend mdm","{""full stack - java"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""react.js"": {""category"": ""primary""}, ""talend mdm"": {""category"": ""secondary""}}",canada,"job posting job title: full stack java technical lead with devops, react location: canada primary skills: full stack - java, devops solutions, react.js secondary skills: talend mdm experience: 0 - 0 years"
5041,noida,india,"senior technical lead with react,angular,java","react, angular, java",,0,0,"react, angular, java","{""react"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","noida, india","job posting job title: senior technical lead with react,angular,java location: noida, india primary skills: react, angular, java secondary skills: experience: 0 - 0 years"
4949,noida,india,"senior developer with spring boot, rest, java","spring boot, rest, java",,0,0,"spring boot, rest, java","{""spring boot"": {""category"": ""primary""}, ""rest"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","noida, india","job posting job title: senior developer with spring boot, rest, java location: noida, india primary skills: spring boot, rest, java secondary skills: experience: 0 - 0 years"
4993,noida,india,"senior developer with unix shell scripting, informatica, pl/sql","unix shell scripting, pl/sql, informatica",,0,0,"unix shell scripting, pl/sql, informatica","{""unix shell scripting"": {""category"": ""primary""}, ""pl/sql"": {""category"": ""primary""}, ""informatica"": {""category"": ""primary""}}","noida, india","job posting job title: senior developer with unix shell scripting, informatica, pl/sql location: noida, india primary skills: unix shell scripting, pl/sql, informatica secondary skills: experience: 0 - 0 years"
5129,noida,india,full stack java senior technical lead with devops,"springboot, devops solutions, java",,0,0,"springboot, devops solutions, java","{""springboot"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","noida, india","job posting job title: full stack java senior technical lead with devops location: noida, india primary skills: springboot, devops solutions, java secondary skills: experience: 0 - 0 years"
5123,noida,india,"senior developer with react,angular,java","react, angular, java",,0,0,"react, angular, java","{""react"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","noida, india","job posting job title: senior developer with react,angular,java location: noida, india primary skills: react, angular, java secondary skills: experience: 0 - 0 years"
5127,,india,pmo associate,aws paas,agile-scrum (digital),0,0,"aws paas, agile-scrum (digital)","{""aws paas"": {""category"": ""primary""}, ""agile-scrum (digital)"": {""category"": ""secondary""}}",india,job posting job title: pmo associate location: india primary skills: aws paas secondary skills: agile-scrum (digital) experience: 0 - 0 years
4261,noida,india,aws data lead,"sql, snowflake, devops solutions, python, amazon glue",sql server,0,0,"sql, snowflake, devops solutions, python, amazon glue, sql server","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""sql server"": {""category"": ""secondary""}}","noida, india","job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: sql server experience: 0 - 0 years"
4438,,spain,azure data engineer,"sql, azure data factory (adf)",agile-scrum (digital),0,0,"sql, azure data factory (adf), agile-scrum (digital)","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""agile-scrum (digital)"": {""category"": ""secondary""}}",spain,"job posting job title: azure data engineer location: spain primary skills: sql, azure data factory (adf) secondary skills: agile-scrum (digital) experience: 0 - 0 years"
5418,noida,india,"senior developer with .net,asp.net,c#","c#, asp.net, .net","5g core architecture and interfaces, azure private 5g core",0,0,"c#, asp.net, .net, 5g core architecture and interfaces, azure private 5g core","{""c#"": {""category"": ""primary""}, ""asp.net"": {""category"": ""primary""}, "".net"": {""category"": ""primary""}, ""5g core architecture and interfaces"": {""category"": ""secondary""}, ""azure private 5g core"": {""category"": ""secondary""}}","noida, india","job posting job title: senior developer with .net,asp.net,c# location: noida, india primary skills: c#, asp.net, .net secondary skills: 5g core architecture and interfaces, azure private 5g core experience: 0 - 0 years"
4328,,united states,aws data engineer - usa,"sql, python, amazon glue",,0,0,"sql, python, amazon glue","{""sql"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}}",united states,"job posting job title: aws data engineer - usa location: united states primary skills: sql, python, amazon glue secondary skills: experience: 0 - 0 years"
3285,taguig,philippines,"developer with javascript,react,java philippines","react, javascript, java",,0,0,"react, javascript, java","{""react"": {""category"": ""primary""}, ""javascript"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","taguig, philippines","job posting job title: developer with javascript,react,java philippines location: taguig, philippines primary skills: react, javascript, java secondary skills: experience: 0 - 0 years"
3304,dubai,united arab emirates,"developer with javascript,pl/sql,aras plm united arab emirates","aras plm, javascript, pl/sql",,0,0,"aras plm, javascript, pl/sql","{""aras plm"": {""category"": ""primary""}, ""javascript"": {""category"": ""primary""}, ""pl/sql"": {""category"": ""primary""}}","dubai, united arab emirates","job posting job title: developer with javascript,pl/sql,aras plm united arab emirates location: dubai, united arab emirates primary skills: aras plm, javascript, pl/sql secondary skills: experience: 0 - 0 years"
3546,,korea (the republic of),"developer with javascript,react,css south korea","react, javascript, css",,0,0,"react, javascript, css","{""react"": {""category"": ""primary""}, ""javascript"": {""category"": ""primary""}, ""css"": {""category"": ""primary""}}",korea (the republic of),"job posting job title: developer with javascript,react,css south korea location: korea (the republic of) primary skills: react, javascript, css secondary skills: experience: 0 - 0 years"
4452,,chile,aws senior data engineer,"sql, devops solutions, python, amazon glue",safe- agile sw engineering (ase),0,0,"sql, devops solutions, python, amazon glue, safe- agile sw engineering (ase)","{""sql"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""safe- agile sw engineering (ase)"": {""category"": ""secondary""}}",chile,"job posting job title: aws senior data engineer location: chile primary skills: sql, devops solutions, python, amazon glue secondary skills: safe- agile sw engineering (ase) experience: 0 - 0 years"
5410,noida,india,"developer with python,c++,java","c++, python, java",,0,0,"c++, python, java","{""c++"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","noida, india","job posting job title: developer with python,c++,java location: noida, india primary skills: c++, python, java secondary skills: experience: 0 - 0 years"
5233,noida,india,"developer with react,angular,java","react, angular, java",,0,0,"react, angular, java","{""react"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}, ""java"": {""category"": ""primary""}}","noida, india","job posting job title: developer with react,angular,java location: noida, india primary skills: react, angular, java secondary skills: experience: 0 - 0 years"
