id,state,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,designation
1943,,,Sweden,,"Microservices,Node.js,Amazon Web Services (AWS),Java",MySQL,0,0,"Tech lead Java, Node.js, Microservices"
2383,,,Estonia,,"Microservices,Vue JS,Java",Functional Automation,0,0,"Developer Java, Microservices, VueJS"
1869,,,Estonia,,"Microservices,Node.js,Amazon Web Services (AWS),Java",MySQL,0,0,"Tech lead Java, Node.js, Microservices"
1871,,,Türkiye,,"Microservices,Node.js,Amazon Web Services (AWS),Java",MySQL,0,0,"Tech lead Java, Node.js, Microservices"
2208,,,United Kingdom,,"Microservices,React.js,Java",,0,0,"Developer Java, Microservices,React.js"
5357,,,India,,"Microservices,Vue JS,Java",,0,0,Senior ERP Specialist
5849,,,India,,"iOS,Android,Java",,0,0,Senior Software Engineer
5786,,,Costa Rica,,HP UX,,0,0,Trainee
5869,,,Ireland,,HP UX,,0,0,Associate
5845,,,Panama,,HP UX,,0,0,Manager
5272,,,Japan,,"JavaScript,React.js,Java",,0,0,Senior ERP Specialist
5747,,,United States,,HP UX,,0,0,Associate
5803,,,Chile,,HP UX,,0,0,Sr. Management Consultant I
5805,,,Panama,,HP UX,,0,0,Sr. Management Consultant I
5693,,,United States,,"Microservices,Vue JS,Java",,0,0,ERP Specialist
5791,,Buenos Aires,Argentina,,HP UX,,0,0,Analyst
5765,,,Mexico,,Functional Automation,,0,0,Regional  Sales Director
5795,,,Colombia,,HP UX,,0,0,Business Development Manager
5547,,Jakarta,Indonesia,,"Microservices,React.js,Java",,0,0,Senior Technical Lead
5444,,,South Africa,,"Microservices,React.js,Java",,0,0,Senior ERP Specialist
5296,,,India,,"Functional Automation,Generative Models",,0,0,Analyst
5826,,,India,,,,0,0,Software Engineer
5724,,,India,,"Microservices,React.js,Java",,0,0,Lead Consultant
5725,,,India,,"Microservices,React.js,Java",,0,0,Lead Consultant
5672,,,Germany,,"C#,Angular,.NET",,0,0,Senior Technical Lead
5160,,,India,,HP UX,,0,0,Chief Architect
5739,,,Romania,,"Microservices,Vue JS,Java",,0,0,Analyst
5423,,,India,,"HTML,Java,Spring MVC",,0,0,Technical Specialist
5337,,,Oman,,"JavaScript,React.js,Java",,0,0,Senior ERP Specialist
5375,,,Poland,,"Microservices,Vue JS,Java",,0,0,Analyst
5685,,,India,,"iOS,Android,Java",,0,0,Analyst
5683,,,India,,"HTML,JavaScript,React.js",,0,0,Senior Project Lead
31983,,,India,,SAP ABAP on HANA,,0,0,
DEMO__5747,,,United States,,HP UX,,0,0,Analyst
